source_name,status,rows,warning,error_message,requested_period,actual_period,latest_available_period,source_url_or_name,is_real_data,is_mock,is_stale,data_age_days,coverage_ratio,affected_symbols_count,fallback_reason,fallback_action
monthly_revenue,OK,1078,,,,,,,False,False,False,,,,,
valuation,OK,1077,,,,,,,False,False,False,,,,,
financials,OK,1042,,,,,,,False,False,False,,,,,
material_events,OK,503,,,,,,,False,False,False,,,,,
institutional,OK,1320,,,,,,,False,False,False,,,,,
margin_short,OK,1271,,,,,,,False,False,False,,,,,
attention_disposition,OK,69,,,,,,,False,False,False,,,,,
sector_strength,OK,1432,,,,,,,False,False,False,,,,,
liquidity,OK,1432,,,,,,,False,False,False,,,,,
market_intel,CACHE,20,基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；使用快取 / 非當日資料；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；價格資料不足，動能採中性分數；基本面資料不足，採中性分數；估值資料不足，採中性分數；使用快取 / 非當日資料,,2026-05-29,2026-05-28,2026-05-28,market_intel provider,True,False,True,1,,20,no trading data,cache
